date,avgTemp,state,country
1950,56.62994,Delaware,United States
1951,56.35007273,Delaware,United States
1952,56.59438182,Delaware,United States
1953,57.46934545,Delaware,United States
1954,56.82478182,Delaware,United States
1955,56.45430909,Delaware,United States
1956,56.04161818,Delaware,United States
1957,57.29523636,Delaware,United States
1958,54.35092727,Delaware,United States
1959,57.55558182,Delaware,United States
1960,55.21443636,Delaware,United States
1961,56.3972,Delaware,United States
1962,54.58918182,Delaware,United States
1963,55.02069091,Delaware,United States
1964,55.87912727,Delaware,United States
1965,55.67769091,Delaware,United States
1966,55.47183636,Delaware,United States
1967,54.0392,Delaware,United States
1968,56.17858182,Delaware,United States
1969,55.57476364,Delaware,United States
1970,56.41258182,Delaware,United States
1971,56.69338182,Delaware,United States
1972,54.95556364,Delaware,United States
1973,57.43809091,Delaware,United States
1974,56.03098182,Delaware,United States
1975,56.57278182,Delaware,United States
1976,55.65674545,Delaware,United States
1977,57.34629091,Delaware,United States
1978,54.87456364,Delaware,United States
1979,55.66329091,Delaware,United States
1980,55.83674545,Delaware,United States
1981,56.08105455,Delaware,United States
1982,56.35743636,Delaware,United States
1983,56.66081818,Delaware,United States
1984,56.87812727,Delaware,United States
1985,57.5438,Delaware,United States
1986,56.72430909,Delaware,United States
1987,56.62187273,Delaware,United States
1988,55.8482,Delaware,United States
1989,55.31163636,Delaware,United States
1990,58.14254545,Delaware,United States
1991,58.47701818,Delaware,United States
1992,55.20330909,Delaware,United States
1993,55.97010909,Delaware,United States
1994,56.9354,Delaware,United States
1995,56.12049091,Delaware,United States
1996,55.47281818,Delaware,United States
1997,56.29558182,Delaware,United States
1998,58.45427273,Delaware,United States
1999,57.71823636,Delaware,United States
2000,56.18970909,Delaware,United States
2001,57.65409091,Delaware,United States
2002,58.09885455,Delaware,United States
2003,56.03589091,Delaware,United States
2004,57.3692,Delaware,United States
2005,56.94930909,Delaware,United States
2006,58.02145455,Delaware,United States
2007,56.87076364,Delaware,United States
2008,57.24156364,Delaware,United States
2009,56.79696364,Delaware,United States
2010,58.06776364,Delaware,United States
2011,59.07281818,Delaware,United States
2012,59.08247273,Delaware,United States
2013,59.917325,District Of Columbia,United States
1950,56.54354,District Of Columbia,United States
1951,56.02476364,District Of Columbia,United States
1952,56.35809091,District Of Columbia,United States
1953,57.60450909,District Of Columbia,United States
1954,56.89121818,District Of Columbia,United States
1955,56.56427273,District Of Columbia,United States
1956,56.21458182,District Of Columbia,United States
1957,57.23174545,District Of Columbia,United States
1958,54.36745455,District Of Columbia,United States
1959,57.76945455,District Of Columbia,United States
1960,54.9104,District Of Columbia,United States
1961,56.3162,District Of Columbia,United States
1962,54.84838182,District Of Columbia,United States
1963,55.06650909,District Of Columbia,United States
1964,56.12654545,District Of Columbia,United States
1965,56.07254545,District Of Columbia,United States
1966,55.62958182,District Of Columbia,United States
1967,54.31869091,District Of Columbia,United States
1968,56.2658,District Of Columbia,United States
1969,55.70616364,District Of Columbia,United States
1970,56.72218182,District Of Columbia,United States
1971,56.81087273,District Of Columbia,United States
1972,55.07649091,District Of Columbia,United States
1973,57.36887273,District Of Columbia,United States
1974,56.08007273,District Of Columbia,United States
1975,56.52287273,District Of Columbia,United States
1976,55.58752727,District Of Columbia,United States
1977,57.26381818,District Of Columbia,United States
1978,55.18252727,District Of Columbia,United States
1979,55.51127273,District Of Columbia,United States
1980,56.0084,District Of Columbia,United States
1981,56.0318,District Of Columbia,United States
1982,56.54970909,District Of Columbia,United States
1983,56.3882,District Of Columbia,United States
1984,56.83378182,District Of Columbia,United States
1985,57.48472727,District Of Columbia,United States
1986,56.84016364,District Of Columbia,United States
1987,57.17823636,District Of Columbia,United States
1988,56.30098182,District Of Columbia,United States
1989,55.03230909,District Of Columbia,United States
1990,58.24776364,District Of Columbia,United States
1991,58.8722,District Of Columbia,United States
1992,55.25158182,District Of Columbia,United States
1993,55.95227273,District Of Columbia,United States
1994,57.14501818,District Of Columbia,United States
1995,56.28592727,District Of Columbia,United States
1996,55.48770909,District Of Columbia,United States
1997,56.2424,District Of Columbia,United States
1998,58.93094545,District Of Columbia,United States
1999,57.66194545,District Of Columbia,United States
2000,56.12490909,District Of Columbia,United States
2001,57.58323636,District Of Columbia,United States
2002,57.848,District Of Columbia,United States
2003,56.08890909,District Of Columbia,United States
2004,57.56458182,District Of Columbia,United States
2005,57.09772727,District Of Columbia,United States
2006,57.947,District Of Columbia,United States
2007,57.27543636,District Of Columbia,United States
2008,56.81332727,District Of Columbia,United States
2009,56.77209091,District Of Columbia,United States
2010,58.10998182,District Of Columbia,United States
2011,58.90116364,District Of Columbia,United States
2012,59.09441818,District Of Columbia,United States
2013,60.315575,Florida,United States
1950,72.1436,Florida,United States
1951,72.31672727,Florida,United States
1952,71.90092727,Florida,United States
1953,72.70994545,Florida,United States
1954,71.86967273,Florida,United States
1955,72.28350909,Florida,United States
1956,72.34732727,Florida,United States
1957,72.71370909,Florida,United States
1958,71.52423636,Florida,United States
1959,72.79749091,Florida,United States
1960,71.29727273,Florida,United States
1961,72.35321818,Florida,United States
1962,71.85036364,Florida,United States
1963,71.34325455,Florida,United States
1964,72.26027273,Florida,United States
1965,72.32409091,Florida,United States
1966,71.31134545,Florida,United States
1967,72.04476364,Florida,United States
1968,70.64812727,Florida,United States
1969,71.03709091,Florida,United States
1970,71.89929091,Florida,United States
1971,72.51685455,Florida,United States
1972,72.53927273,Florida,United States
1973,72.29741818,Florida,United States
1974,72.08158182,Florida,United States
1975,73.00858182,Florida,United States
1976,71.36452727,Florida,United States
1977,72.23458182,Florida,United States
1978,72.34765455,Florida,United States
1979,72.28858182,Florida,United States
1980,72.03821818,Florida,United States
1981,72.12985455,Florida,United States
1982,73.7456,Florida,United States
1983,71.54469091,Florida,United States
1984,72.24587273,Florida,United States
1985,73.32472727,Florida,United States
1986,73.70452727,Florida,United States
