dt,AverageTemperature,State,Country
2013,-2.825427532467522,Connecticut,United States
1950,-0.7484836363636305,Connecticut,United States
1951,-0.025930909090909893,Connecticut,United States
1952,-0.47331272727272733,Connecticut,United States
1953,-1.5212399999999917,Connecticut,United States
1954,-0.14931272727272926,Connecticut,United States
1955,-0.014149090909086226,Connecticut,United States
1956,1.3402690909090893,Connecticut,United States
1957,-1.0938218181818087,Connecticut,United States
1958,2.100196363636364,Connecticut,United States
1959,-0.5651127272727265,Connecticut,United States
1960,0.8212145454545521,Connecticut,United States
1961,0.012360000000001037,Connecticut,United States
1962,2.074996363636366,Connecticut,United States
1963,1.3260327272727253,Connecticut,United States
1964,0.8861781818181811,Connecticut,United States
1965,1.1011963636363618,Connecticut,United States
1966,0.8599963636363626,Connecticut,United States
1967,2.212941818181818,Connecticut,United States
1968,0.6619963636363622,Connecticut,United States
1969,0.6083236363636431,Connecticut,United States
1970,0.2515963636363665,Connecticut,United States
1971,0.04083272727272913,Connecticut,United States
1972,1.8090872727272753,Connecticut,United States
1973,-1.052094545454544,Connecticut,United States
1974,0.6711600000000004,Connecticut,United States
1975,-0.11118545454544915,Connecticut,United States
1976,0.7695054545454525,Connecticut,United States
1977,-0.265658181818182,Connecticut,United States
1978,1.9121781818181773,Connecticut,United States
1979,0.19170545454545618,Connecticut,United States
1980,1.197905454545456,Connecticut,United States
1981,-0.032149090909094014,Connecticut,United States
1982,0.30035999999999774,Connecticut,United States
1983,-0.4713490909090865,Connecticut,United States
1984,-0.47265818181818275,Connecticut,United States
1985,-0.18580363636363728,Connecticut,United States
1986,0.5292872727272737,Connecticut,United States
1987,0.2074145454545473,Connecticut,United States
1988,0.36368727272727597,Connecticut,United States
1989,1.513887272727274,Connecticut,United States
1990,-1.3299490909090892,Connecticut,United States
1991,-1.8702763636363642,Connecticut,United States
1992,1.6510145454545437,Connecticut,United States
1993,0.7812872727272762,Connecticut,United States
1994,-0.2726945454545415,Connecticut,United States
1995,0.5593963636363597,Connecticut,United States
1996,0.8001054545454593,Connecticut,United States
1997,0.4661236363636334,Connecticut,United States
1998,-1.9859672727272724,Connecticut,United States
1999,-1.889585454545454,Connecticut,United States
2000,0.33914181818182243,Connecticut,United States
2001,-1.4379490909090933,Connecticut,United States
2002,-1.1276945454545455,Connecticut,United States
2003,0.33308727272727623,Connecticut,United States
2004,-0.4443490909090926,Connecticut,United States
2005,-0.7506763636363587,Connecticut,United States
2006,-1.6850400000000008,Connecticut,United States
2007,-0.10480363636363421,Connecticut,United States
2008,-0.6554399999999916,Connecticut,United States
2009,-0.2741672727272757,Connecticut,United States
2010,-2.3829490909090865,Connecticut,United States
2011,-2.2132581818181833,Connecticut,United States
2012,-3.0874036363636392,Connecticut,United States
2013,-3.0874036363636392,Delaware,United States
1950,-0.10045090909089538,Delaware,United States
1951,0.1794163636363706,Delaware,United States
1952,-0.06489272727271356,Delaware,United States
1953,-0.939856363636359,Delaware,United States
1954,-0.2952927272727095,Delaware,United States
1955,0.07518000000001024,Delaware,United States
1956,0.48787090909092257,Delaware,United States
1957,-0.7657472727272676,Delaware,United States
1958,2.1785618181818265,Delaware,United States
1959,-1.0260927272727187,Delaware,United States
1960,1.315052727272743,Delaware,United States
1961,0.13228909090910435,Delaware,United States
1962,1.9403072727272885,Delaware,United States
1963,1.508798181818193,Delaware,United States
1964,0.6503618181818283,Delaware,United States
1965,0.8517981818181894,Delaware,United States
1966,1.0576527272727319,Delaware,United States
1967,2.4902890909091013,Delaware,United States
1968,0.3509072727272837,Delaware,United States
1969,0.9547254545454607,Delaware,United States
1970,0.11690727272728196,Delaware,United States
1971,-0.1638927272727173,Delaware,United States
1972,1.573925454545467,Delaware,United States
1973,-0.9086018181818076,Delaware,United States
1974,0.4985072727272879,Delaware,United States
1975,-0.04329272727271416,Delaware,United States
